Preprocessing,Model,Accuracy,F1,ROC-AUC
Standard Pipeline (Split),Logistic Regression,0.8017,0,0.622820661
Standard Pipeline (Split),Random Forest,0.79305,0.141820444,0.636792743
Standard Pipeline (Split),XGBoost,0.8002,0.108433735,0.660424573
Advanced Pipeline (Split),Logistic Regression,0.8006,0.033914729,0.631606627
Advanced Pipeline (Split),Random Forest,0.78445,0.176818789,0.636055554
Advanced Pipeline (Split),XGBoost,0.797,0.1302485,0.652059847
Preprocessed Features Sample,Logistic Regression,0.798434641,0,0.627296694
Preprocessed Features Sample,Random Forest,0.790404554,0.145816073,0.641278902
Preprocessed Features Sample,XGBoost,0.800060988,0.131567329,0.66814855
Preprocessed Features Advanced,Logistic Regression,0.79995,0.081285878,0.695894506
Preprocessed Features Advanced,Random Forest,0.8155,0.339892665,0.715794486
Preprocessed Features Advanced,XGBoost,0.82505,0.31646806,0.738816142
