month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance,dep_time_bin,carrier_origin
4,4,0.187981127,0.262749446,0.123903285,1018,835,0.107609327,0.173913043
1,1,0.253760206,0.26082578,0.181617647,1637,1773,0.209605296,0.277970012
12,4,0.156283375,0.144242923,0.16384535,1000,106,0.107609327,0.135400797
4,1,0.193371815,0.202312139,0.211971026,1330,1099,0.209605296,0.235771097
2,5,0.193371815,0.227874564,0.163090129,1340,399,0.209605296,0.242802303
4,1,0.193371815,0.234011628,0.181617647,715,304,0.107609327,0.247524752
11,3,0.213325183,0.207757608,0.169191491,933,914,0.107609327,0.164980926
8,6,0.200784094,0.191876751,0.200752823,1855,1973,0.307938035,0.189004586
4,5,0.179017013,0.16878865,0.161744023,820,308,0.107609327,0.137992832
2,4,0.179017013,0.207460399,0.241313671,2235,238,0.307938035,0.233333333
9,4,0.213325183,0.169902913,0.219789132,1501,813,0.209605296,0.244093355
3,4,0.253760206,0.266837716,0.181655481,2039,1096,0.307938035,0.313309776
6,5,0.253760206,0.156862745,0.214473684,635,257,0.107609327,0.134430801
10,6,0.193371815,0.229000884,0.182578397,1925,612,0.307938035,0.253776435
8,3,0.253760206,0.16878865,0.219546742,905,2402,0.107609327,0.20045045
3,6,0.188744508,0.17172702,0.172413793,905,483,0.107609327,0.176517953
7,7,0.188744508,0.179231863,0.172413793,1610,1452,0.209605296,0.187214612
12,3,0.188744508,0.21881582,0.161331626,800,1452,0.107609327,0.221264368
10,5,0.164141953,0.198960499,0.206128134,1540,425,0.209605296,0.188465175
4,5,0.193371815,0.194444444,0.176846591,1810,880,0.307938035,0.123660193
7,3,0.179017013,0.175956284,0.223529412,832,651,0.107609327,0.195266272
9,7,0.265797392,0.229000884,0.180762852,1805,927,0.307938035,0.211535483
11,1,0.188744508,0.225241546,0.198044623,720,925,0.107609327,0.221674877
10,7,0.164141953,0.262749446,0.181655481,600,1389,0.107609327,0.142011853
1,2,0.253760206,0.262749446,0.194915254,1538,460,0.107609327,0.326890756
10,1,0.179017013,0.22991128,0.241985027,1405,157,0.209605296,0.233243968
2,4,0.253760206,0.167464115,0.214473684,1004,683,0.107609327,0.137323764
9,6,0.179017013,0.16878865,0.199386503,829,677,0.107609327,0.137992832
6,7,0.164141953,0.160886868,0.150485437,1815,1522,0.307938035,0.145833333
7,7,0.193371815,0.244406196,0.172413793,1600,1546,0.307938035,0.23816568
11,3,0.193371815,0.180620696,0.219047619,1200,458,0.209605296,0.218202049
9,2,0.253760206,0.22991128,0.207186974,704,719,0.107609327,0.27027027
12,6,0.193371815,0.185592186,0.1875,2050,816,0.307938035,0.187335092
5,4,0.164141953,0.175956284,0.205731832,840,440,0.107609327,0.185406699
1,4,0.253760206,0.26082578,0.172954642,1641,2279,0.209605296,0.277970012
7,1,0.187981127,0.182957945,0.231961045,1214,859,0.209605296,0.149145
3,7,0.200784094,0.209865859,0.181617647,1148,1107,0.209605296,0.234210526
10,2,0.253760206,0.266837716,0.205048944,803,919,0.107609327,0.313309776
11,5,0.265797392,0.253932584,0.219546742,1253,951,0.209605296,0.289203052
2,1,0.253760206,0.207460399,0.231961045,1019,1464,0.107609327,0.165562981
3,1,0.257645701,0.234011628,0.199887704,2115,2446,0.307938035,0.31859216
11,6,0.179017013,0.159628675,0.280818414,615,238,0.107609327,0.154412181
10,7,0.188744508,0.170843776,0.198044623,1634,733,0.209605296,0.207999733
10,1,0.193371815,0.151915456,0.124513619,915,387,0.107609327,0.153658537
1,1,0.164141953,0.151915456,0.144570707,1320,532,0.209605296,0.107507619
11,4,0.200784094,0.167687957,0.181325181,1008,198,0.107609327,0.170824341
5,5,0.253760206,0.197459584,0.205048944,655,227,0.107609327,0.211920502
4,7,0.188744508,0.134986226,0.172413793,1336,819,0.209605296,0.154100314
8,6,0.179017013,0.198960499,0.123427461,1250,170,0.209605296,0.201680502
4,1,0.253760206,0.262749446,0.211971026,1656,1055,0.307938035,0.326890756
8,3,0.179017013,0.12601626,0.172954642,715,224,0.107609327,0.073424138
9,4,0.188744508,0.164772733,0.198044623,1655,723,0.209605296,0.239193986
6,3,0.253760206,0.262749446,0.169817927,1833,1235,0.307938035,0.326890756
1,1,0.188744508,0.191876751,0.198044623,1650,409,0.209605296,0.163069773
9,7,0.188744508,0.18494152,0.207186974,2359,2133,0.404553415,0.125926659
12,6,0.265797392,0.207460399,0.211971026,1053,414,0.107609327,0.471737923
5,4,0.193371815,0.138613861,0.178984862,1655,480,0.307938035,0.131847048
3,6,0.193371815,0.263761468,0.159246575,2050,973,0.307938035,0.28229665
11,3,0.187981127,0.109359555,0.231961045,815,158,0.107609327,0.109359555
3,2,0.164141953,0.158739963,0.16384535,1740,1590,0.307938035,0.162127108
1,7,0.265797392,0.262046816,0.242339833,1718,955,0.307938035,0.262046816
5,1,0.253760206,0.18494152,0.159246575,858,1670,0.107609327,0.232858991
8,3,0.188744508,0.150916784,0.172413793,1545,977,0.209605296,0.186207715
7,4,0.265797392,0.182389952,0.209251101,1014,700,0.107609327,0.152390779
9,6,0.179017013,0.262749446,0.138939,905,89,0.107609327,0.170087977
6,7,0.179017013,0.21881582,0.190140886,1900,563,0.307938035,0.177362894
10,4,0.253760206,0.22991128,0.215196798,813,1352,0.107609327,0.27027027
4,2,0.188744508,0.22991128,0.1875,1948,864,0.307938035,0.222398729
7,6,0.164141953,0.158739963,0.198044623,830,1250,0.107609327,0.162127108
2,7,0.164141953,0.151915456,0.144570707,530,532,0.107609327,0.107507619
2,1,0.253760206,0.195259594,0.169817927,700,2475,0.107609327,0.163461539
7,3,0.179017013,0.171091445,0.171803653,1027,306,0.107609327,0.21926042
8,5,0.179017013,0.207460399,0.277777778,1340,733,0.209605296,0.233333333
5,1,0.253760206,0.207460399,0.224489796,1307,2585,0.209605296,0.165562981
7,6,0.187981127,0.212464864,0.231961045,854,408,0.107609327,0.254578508
10,1,0.188744508,0.21881582,0.121621833,1340,524,0.209605296,0.221264368
5,4,0.188744508,0.234011628,0.161331626,825,2253,0.107609327,0.185897451
12,7,0.213267204,0.26082578,0.227240483,1822,370,0.307938035,0.229299363
1,2,0.188744508,0.21881582,0.224489796,1355,1709,0.209605296,0.221264368
12,1,0.257645701,0.167164179,0.199887704,1942,301,0.307938035,0.189844113
10,2,0.188744508,0.179231863,0.207186974,600,212,0.107609327,0.187214612
9,1,0.156283375,0.195259594,0.209251101,750,427,0.107609327,0.144032922
1,4,0.227520436,0.198960499,0.217485863,640,404,0.107609327,0.32167776
9,1,0.193371815,0.18494152,0.182578397,1720,1449,0.307938035,0.197228145
10,7,0.227520436,0.171467764,0.217485863,1949,1072,0.307938035,0.302470824
1,2,0.227520436,0.198960499,0.171803653,1004,594,0.107609327,0.32167776
4,3,0.227520436,0.201082753,0.161744023,713,386,0.107609327,0.18128655
10,4,0.179017013,0.158739963,0.166762119,2259,525,0.307938035,0.118161926
10,4,0.12632594,0.115591398,0.1360799,800,100,0.107609327,0.153846169
7,2,0.253760206,0.262749446,0.194444444,2043,987,0.307938035,0.326890756
8,4,0.213267204,0.19999304,0.214473684,2012,413,0.307938035,0.19874989
1,2,0.253760206,0.244406196,0.214473684,612,468,0.107609327,0.261744966
5,2,0.200784094,0.165354331,0.280818414,1950,550,0.307938035,0.181451613
12,2,0.164141953,0.153198653,0.16384535,1250,1919,0.209605296,0.145946216
7,2,0.188744508,0.15864856,0.172413793,700,251,0.107609327,0.176517953
12,4,0.253760206,0.244406196,0.231961045,646,985,0.107609327,0.261744966
4,7,0.137856629,0.22991128,0.205731832,1257,258,0.209605296,0.132
11,5,0.137856629,0.182291667,0.207186974,1230,195,0.209605296,0.179893324
5,2,0.164141953,0.173010381,0.174674958,1737,448,0.307938035,0.099195702
10,4,0.193371815,0.138636364,0.211971026,1410,223,0.209605296,0.10877193
3,4,0.156283375,0.198960499,0.347195719,1110,143,0.107609327,0.14171123
1,1,0.193371815,0.263761468,0.176846591,540,925,0.107609327,0.28229665
6,1,0.213267204,0.142902843,0.214473684,840,370,0.107609327,0.180786819
4,2,0.253760206,0.134986226,0.181617647,1555,325,0.209605296,0.195467575
10,3,0.213267204,0.26082578,0.191921553,1716,562,0.307938035,0.229299363
12,7,0.179017013,0.191876751,0.198044623,800,409,0.107609327,0.228368759
4,1,0.179017013,0.12601626,0.280818414,528,733,0.107609327,0.073424138
11,5,0.193371815,0.201082753,0.172954642,935,867,0.107609327,0.223931624
8,1,0.253760206,0.195259594,0.214473684,1435,541,0.209605296,0.163461539
12,1,0.156283375,0.142902843,0.16384535,1937,432,0.307938035,0.198601948
12,3,0.188744508,0.22991128,0.223529412,845,416,0.107609327,0.222398729
4,4,0.137856629,0.170843776,0.203592812,955,269,0.107609327,0.127659574
3,1,0.253760206,0.22991128,0.224489796,1540,1197,0.209605296,0.27027027
4,6,0.193371815,0.134986226,0.161744023,1235,333,0.209605296,0.135802512
10,4,0.188744508,0.195102041,0.193975904,515,140,0.107609327,0.172185484
7,2,0.179017013,0.18494152,0.16923077,1020,261,0.107609327,0.142480211
1,6,0.213267204,0.189175258,0.204545453,1447,384,0.209605296,0.222222222
7,6,0.179017013,0.179231863,0.171803653,610,383,0.107609327,0.191255622
9,5,0.253760206,0.195259594,0.224489796,706,1089,0.107609327,0.163461539
6,6,0.164141953,0.198960499,0.185520362,929,903,0.107609327,0.188465175
4,1,0.193371815,0.173010381,0.248186946,2000,1057,0.307938035,0.175090253
9,5,0.179017013,0.207460399,0.185676393,1151,363,0.209605296,0.233333333
7,6,0.156283375,0.280004961,0.16384535,1820,457,0.107609327,0.184684689
2,3,0.164141953,0.244406196,0.219789132,1145,994,0.107609327,0.20212766
1,1,0.193371815,0.216216216,0.181617647,1800,879,0.307938035,0.22022022
4,1,0.188744508,0.194444444,0.207186974,600,1034,0.107609327,0.298947898
6,1,0.179017013,0.209865859,0.209509181,1055,750,0.107609327,0.197222222
12,7,0.253760206,0.22991128,0.248186946,1213,1182,0.209605296,0.27027027
8,2,0.200784094,0.22991128,0.280818414,1820,1846,0.307938035,0.243836017
12,1,0.213267204,0.206521739,0.214473684,726,488,0.107609327,0.241313671
11,7,0.188744508,0.195102041,0.280818414,1948,1504,0.307938035,0.172185484
3,5,0.257645701,0.210227273,0.234,1115,1368,0.107609327,0.194427485
2,6,0.164141953,0.198960499,0.234,2059,946,0.307938035,0.188465175
1,4,0.193371815,0.160886868,0.178984862,1720,349,0.307938035,0.166671433
8,7,0.193371815,0.169960474,0.18327606,1655,677,0.307938035,0.145038973
8,5,0.188744508,0.22991128,0.193975904,1035,925,0.107609327,0.222398729
10,4,0.164141953,0.262749446,0.199887704,1217,1391,0.209605296,0.142011853
7,6,0.257645701,0.170843776,0.126434252,1155,202,0.107609327,0.299210323
12,2,0.253760206,0.18494152,0.219546742,942,2075,0.107609327,0.232858991
5,5,0.213267204,0.212454212,0.214473684,1307,350,0.209605296,0.253186437
12,2,0.179017013,0.158739963,0.144961606,1515,150,0.209605296,0.118161926
10,6,0.164141953,0.198960499,0.206270627,1021,526,0.107609327,0.188465175
8,5,0.137856629,0.149557659,0.181655481,1141,202,0.107609327,0.152390779
11,2,0.193371815,0.185592186,0.159246575,1520,1000,0.209605296,0.187335092
2,7,0.253760206,0.262749446,0.206270627,710,1067,0.107609327,0.326890756
3,5,0.193371815,0.195102041,0.219047619,1615,189,0.209605296,0.178907721
1,7,0.188744508,0.195227766,0.169817927,1200,2454,0.107609327,0.203092784
12,6,0.156283375,0.195259594,0.167883464,1050,266,0.107609327,0.144032922
4,4,0.137856629,0.164772733,0.198044623,1652,723,0.209605296,0.155823219
1,2,0.253760206,0.201082753,0.198044623,1201,1514,0.107609327,0.174603176
9,3,0.179017013,0.134986226,0.144570707,1700,558,0.209605296,0.084083061
10,4,0.179017013,0.160886868,0.177727698,1945,252,0.307938035,0.169491525
