month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance
4,4,8,90,265,1018,835.0
1,1,1,69,246,1637,1773.0
12,4,0,61,20,1000,106.0
4,1,13,232,178,1330,1099.0
2,5,13,55,227,1340,399.0
4,1,13,281,246,715,304.0
11,3,6,214,0,933,914.0
8,6,2,41,243,1855,1973.0
4,5,11,181,299,820,308.0
2,4,11,293,30,2235,238.0
9,4,6,96,22,1501,813.0
3,4,1,212,189,2039,1096.0
6,5,1,271,69,635,257.0
10,6,13,323,41,1925,612.0
8,3,1,181,245,905,2402.0
3,6,12,119,89,905,483.0
7,7,12,155,89,1610,1452.0
12,3,12,89,154,800,1452.0
10,5,4,20,224,1540,425.0
4,5,13,310,55,1810,880.0
7,3,11,97,232,832,651.0
9,7,5,323,67,1805,927.0
11,1,12,157,235,720,925.0
10,7,4,90,189,600,1389.0
10,1,11,235,122,1405,157.0
2,4,1,262,69,1004,683.0
9,6,11,181,2,829,677.0
6,7,4,223,306,1815,1522.0
7,7,13,201,89,1600,1546.0
11,3,13,150,84,1200,458.0
9,2,1,235,109,704,719.0
12,6,13,148,168,2050,816.0
5,4,4,97,312,840,440.0
1,4,1,69,291,1641,2279.0
7,1,8,121,90,1214,859.0
3,7,2,291,246,1148,1107.0
10,2,1,212,86,803,919.0
11,5,5,242,245,1253,951.0
2,1,1,293,90,1019,1464.0
3,1,3,281,169,2115,2446.0
11,6,11,30,293,615,238.0
10,7,12,190,235,1634,733.0
10,1,13,304,190,915,387.0
1,1,4,304,302,1320,532.0
11,4,2,173,342,1008,198.0
5,5,1,268,86,655,227.0
4,7,12,234,89,1336,819.0
8,6,11,20,91,1250,170.0
4,1,1,90,178,1656,1055.0
8,3,11,124,291,715,224.0
9,4,12,14,235,1655,723.0
6,3,1,90,180,1833,1235.0
1,1,12,41,235,1650,409.0
9,7,12,246,109,2359,2133.0
12,6,5,293,178,1053,414.0
5,4,13,206,203,1655,480.0
3,6,13,116,70,2050,973.0
11,3,8,1,90,815,158.0
3,2,4,302,20,1740,1590.0
1,7,5,325,323,1718,955.0
5,1,1,246,70,858,1670.0
8,3,12,162,89,1545,977.0
7,4,5,264,268,1014,700.0
9,6,11,90,6,905,89.0
6,7,11,89,197,1900,563.0
10,4,1,235,115,813,1352.0
4,2,12,235,168,1948,864.0
7,6,4,302,235,830,1250.0
2,7,4,304,302,530,532.0
2,1,1,170,180,700,2475.0
7,3,11,290,97,1027,306.0
8,5,11,293,125,1340,733.0
5,1,1,293,212,1307,2585.0
7,6,8,168,90,854,408.0
10,1,12,89,56,1340,524.0
5,4,12,281,154,825,2253.0
12,7,10,69,85,1822,370.0
1,2,12,89,212,1355,1709.0
12,1,3,53,169,1942,301.0
10,2,12,155,109,600,212.0
9,1,0,170,268,750,427.0
1,4,9,20,200,640,404.0
9,1,13,246,41,1720,1449.0
10,7,9,200,200,1949,1072.0
1,2,9,20,97,1004,594.0
4,3,9,179,299,713,386.0
10,4,11,302,267,2259,525.0
10,4,7,230,145,800,100.0
7,2,1,90,63,2043,987.0
8,4,10,203,69,2012,413.0
1,2,1,201,69,612,468.0
5,2,2,243,293,1950,550.0
12,2,4,306,20,1250,1919.0
7,2,12,95,89,700,251.0
12,4,1,201,90,646,985.0
4,7,14,235,312,1257,258.0
11,5,14,320,109,1230,195.0
5,2,4,312,223,1737,448.0
10,4,13,54,178,1410,223.0
3,4,0,20,12,1110,143.0
1,1,13,116,55,540,925.0
6,1,10,85,69,840,370.0
4,2,1,234,246,1555,325.0
10,3,10,69,167,1716,562.0
12,7,11,41,235,800,409.0
4,1,11,124,293,528,733.0
11,5,13,179,291,935,867.0
8,1,1,170,69,1435,541.0
12,1,0,85,20,1937,432.0
12,3,12,235,232,845,416.0
4,4,14,190,264,955,269.0
3,1,1,235,212,1540,1197.0
4,6,13,234,299,1235,333.0
10,4,12,22,156,515,140.0
7,2,11,246,261,1020,261.0
1,6,10,86,23,1447,384.0
7,6,11,155,97,610,383.0
9,5,1,170,212,706,1089.0
6,6,4,20,262,929,903.0
4,1,13,312,117,2000,1057.0
9,5,11,293,234,1151,363.0
2,3,4,201,22,1145,994.0
1,1,13,84,246,1800,879.0
4,1,12,310,109,600,1034.0
6,1,11,291,220,1055,750.0
12,7,1,235,117,1213,1182.0
8,2,2,235,293,1820,1846.0
12,1,10,253,69,726,488.0
11,7,12,22,293,1948,1504.0
3,5,3,224,43,1115,1368.0
2,6,4,20,43,2059,946.0
1,4,13,223,203,1720,349.0
8,7,13,103,147,1655,677.0
8,5,12,235,156,1035,925.0
10,4,4,90,169,1217,1391.0
7,6,3,190,5,1155,202.0
12,2,1,246,245,942,2075.0
5,5,10,33,69,1307,350.0
12,2,11,302,250,1515,150.0
10,6,4,20,251,1021,526.0
8,5,14,5,189,1141,202.0
11,2,13,148,70,1520,1000.0
2,7,1,90,251,710,1067.0
3,5,13,22,84,1615,189.0
1,7,12,108,180,1200,2454.0
12,6,0,170,52,1050,266.0
4,4,14,14,235,1652,723.0
1,2,1,179,235,1201,1514.0
9,3,11,234,302,1700,558.0
10,4,11,223,131,1945,252.0
7,1,5,164,200,1646,971.0
10,2,12,201,89,1245,1546.0
4,4,4,20,212,2300,594.0
11,6,1,69,24,916,509.0
6,7,13,53,55,1910,281.0
12,7,11,115,246,1440,119.0
11,6,4,97,279,1850,1084.0
10,1,4,20,243,835,2172.0
5,5,14,86,43,1950,399.0
4,5,14,190,205,1025,963.0
9,4,1,116,245,1151,992.0
3,4,12,169,89,1618,1447.0
6,1,2,291,156,2359,1874.0
2,1,6,41,120,930,741.0
6,4,13,179,190,740,231.0
1,1,2,176,291,919,680.0
6,4,10,57,69,518,88.0
2,4,4,108,20,1959,746.0
6,4,12,86,235,1800,612.0
12,1,11,316,235,1238,1341.0
2,3,11,250,302,635,150.0
9,6,1,86,180,820,2311.0
4,4,8,90,188,2110,351.0
5,7,1,69,70,1330,347.0
2,2,14,43,67,925,563.0
1,7,12,251,154,1025,182.0
1,5,0,170,268,1300,427.0
12,1,3,190,242,1320,1035.0
12,7,13,293,281,1830,447.0
8,6,4,20,100,1332,240.0
8,1,10,57,69,1615,88.0
8,5,4,173,291,712,909.0
12,1,0,96,223,1735,232.0
12,1,1,108,90,1239,1372.0
5,5,8,69,100,1316,437.0
